County,State,Population_July_1st_2021
Perkins County,Nebraska,"2,832"
Phelps County,Nebraska,"8,937"
Pierce County,Nebraska,"7,313"
Platte County,Nebraska,"34,241"
Polk County,Nebraska,"5,174"
Red Willow County,Nebraska,"10,623"
Richardson County,Nebraska,"7,759"
Rock County,Nebraska,"1,264"
Saline County,Nebraska,"14,192"
Sarpy County,Nebraska,"193,418"
Saunders County,Nebraska,"22,787"
Scotts Bluff County,Nebraska,"35,745"
Seward County,Nebraska,"17,603"
Sheridan County,Nebraska,"5,095"
Sherman County,Nebraska,"2,964"
Sioux County,Nebraska,"1,143"
Stanton County,Nebraska,"5,816"
Thayer County,Nebraska,"4,913"
Thomas County,Nebraska,673
Thurston County,Nebraska,"6,620"
Valley County,Nebraska,"4,066"
Washington County,Nebraska,"20,969"
Wayne County,Nebraska,"9,784"
Webster County,Nebraska,"3,411"
Wheeler County,Nebraska,795
York County,Nebraska,"14,244"
Churchill County,Nevada,"25,723"
Clark County,Nevada,"2,292,476"
Douglas County,Nevada,"49,870"
Elko County,Nevada,"53,915"
Esmeralda County,Nevada,743
Eureka County,Nevada,"1,903"
Humboldt County,Nevada,"17,648"
Lander County,Nevada,"5,798"
Lincoln County,Nevada,"4,525"
Lyon County,Nevada,"60,903"
Mineral County,Nevada,"4,586"
Nye County,Nevada,"53,450"
Pershing County,Nevada,"6,741"
Storey County,Nevada,"4,143"
Washoe County,Nevada,"493,392"
White Pine County,Nevada,"9,182"
Carson City,Nevada,"58,993"
Belknap County,New Hampshire,"64,460"
Carroll County,New Hampshire,"51,500"
Cheshire County,New Hampshire,"77,329"
Coos County,New Hampshire,"31,289"
Grafton County,New Hampshire,"92,201"
Hillsborough County,New Hampshire,"424,079"
Merrimack County,New Hampshire,"155,238"
Rockingham County,New Hampshire,"316,947"
Strafford County,New Hampshire,"132,416"
Sullivan County,New Hampshire,"43,533"
Atlantic County,New Jersey,"274,966"
Bergen County,New Jersey,"953,819"
Burlington County,New Jersey,"464,269"
Camden County,New Jersey,"523,771"
Cape May County,New Jersey,"95,661"
Cumberland County,New Jersey,"153,627"
Essex County,New Jersey,"854,917"
Gloucester County,New Jersey,"304,477"
Hudson County,New Jersey,"702,463"
Hunterdon County,New Jersey,"129,924"
Mercer County,New Jersey,"385,898"
Middlesex County,New Jersey,"860,807"
Monmouth County,New Jersey,"645,354"
Morris County,New Jersey,"510,981"
Ocean County,New Jersey,"648,998"
Passaic County,New Jersey,"518,117"
Salem County,New Jersey,"65,046"
Somerset County,New Jersey,"345,647"
Sussex County,New Jersey,"145,543"
Union County,New Jersey,"572,114"
Warren County,New Jersey,"110,731"
Bernalillo County,New Mexico,"674,393"
Catron County,New Mexico,"3,731"
Chaves County,New Mexico,"64,629"
Cibola County,New Mexico,"27,184"
Colfax County,New Mexico,"12,369"
Curry County,New Mexico,"47,999"
De Baca County,New Mexico,"1,680"
Doña Ana County,New Mexico,"221,508"
Eddy County,New Mexico,"60,911"
Grant County,New Mexico,"27,889"
Guadalupe County,New Mexico,"4,449"
Harding County,New Mexico,639
Hidalgo County,New Mexico,"4,074"
Lea County,New Mexico,"73,004"
Lincoln County,New Mexico,"20,436"
Los Alamos County,New Mexico,"19,330"
Luna County,New Mexico,"25,532"
McKinley County,New Mexico,"71,780"
Mora County,New Mexico,"4,196"
Otero County,New Mexico,"68,537"
Quay County,New Mexico,"8,656"
Rio Arriba County,New Mexico,"40,179"
Roosevelt County,New Mexico,"19,019"
Sandoval County,New Mexico,"151,369"
San Juan County,New Mexico,"120,993"
San Miguel County,New Mexico,"27,150"
Santa Fe County,New Mexico,"155,201"
Sierra County,New Mexico,"11,502"
Socorro County,New Mexico,"16,311"
Taos County,New Mexico,"34,623"
Torrance County,New Mexico,"15,307"
Union County,New Mexico,"4,107"
Valencia County,New Mexico,"77,190"
Albany County,New York,"313,743"
Allegany County,New York,"46,106"
Bronx County,New York,"1,424,948"
Broome County,New York,"197,240"
Cattaraugus County,New York,"76,426"
Cayuga County,New York,"75,880"
Chautauqua County,New York,"126,807"
Chemung County,New York,"83,045"
Chenango County,New York,"46,537"
Clinton County,New York,"79,596"
Columbia County,New York,"61,778"
Cortland County,New York,"46,311"
Delaware County,New York,"44,378"
Dutchess County,New York,"297,112"
Erie County,New York,"950,683"
Essex County,New York,"37,268"
Franklin County,New York,"47,456"
Fulton County,New York,"53,116"
Genesee County,New York,"57,853"
Greene County,New York,"48,499"
Hamilton County,New York,"5,119"
Herkimer County,New York,"59,937"
Jefferson County,New York,"116,295"
Kings County,New York,"2,641,052"
Lewis County,New York,"26,573"
Livingston County,New York,"61,578"
Madison County,New York,"67,658"
Monroe County,New York,"755,160"
Montgomery County,New York,"49,558"
Nassau County,New York,"1,390,907"
New York County,New York,"1,576,876"
Niagara County,New York,"211,653"
Oneida County,New York,"230,274"
Onondaga County,New York,"473,236"
Ontario County,New York,"112,508"
Orange County,New York,"404,525"
Orleans County,New York,"40,191"
Oswego County,New York,"117,387"
Otsego County,New York,"58,123"
Putnam County,New York,"97,936"
Queens County,New York,"2,331,143"
Rensselaer County,New York,"160,232"
Richmond County,New York,"493,494"
Rockland County,New York,"339,227"
St. Lawrence County,New York,"108,051"
Saratoga County,New York,"237,359"
Schenectady County,New York,"158,089"
Schoharie County,New York,"29,863"
Schuyler County,New York,"17,752"
Seneca County,New York,"33,688"
Steuben County,New York,"92,948"
Suffolk County,New York,"1,526,344"
Sullivan County,New York,"79,806"
Tioga County,New York,"47,980"
Tompkins County,New York,"105,162"
Ulster County,New York,"182,951"
Warren County,New York,"65,618"
Washington County,New York,"60,956"
Wayne County,New York,"90,923"
Westchester County,New York,"997,895"
Wyoming County,New York,"40,491"
Yates County,New York,"24,613"
Alamance County,North Carolina,"173,877"
Alexander County,North Carolina,"36,644"
Alleghany County,North Carolina,"11,049"
Anson County,North Carolina,"22,060"
Ashe County,North Carolina,"26,711"
Avery County,North Carolina,"17,864"
Beaufort County,North Carolina,"44,468"
Bertie County,North Carolina,"17,505"
Bladen County,North Carolina,"29,525"
Brunswick County,North Carolina,"144,215"
Buncombe County,North Carolina,"271,534"
Burke County,North Carolina,"87,611"
Cabarrus County,North Carolina,"231,278"
Caldwell County,North Carolina,"80,463"
Camden County,North Carolina,"10,835"
Carteret County,North Carolina,"68,541"
Caswell County,North Carolina,"22,714"
Catawba County,North Carolina,"161,723"
Chatham County,North Carolina,"77,889"
Cherokee County,North Carolina,"29,167"
Chowan County,North Carolina,"13,722"
Clay County,North Carolina,"11,309"
Cleveland County,North Carolina,"100,359"
Columbus County,North Carolina,"50,092"
Craven County,North Carolina,"100,674"
Cumberland County,North Carolina,"335,508"
Currituck County,North Carolina,"29,653"
Dare County,North Carolina,"37,826"
Davidson County,North Carolina,"170,637"
Davie County,North Carolina,"43,533"
Duplin County,North Carolina,"48,515"
Durham County,North Carolina,"326,126"
Edgecombe County,North Carolina,"48,359"
Forsyth County,North Carolina,"385,523"
Franklin County,North Carolina,"71,703"
Gaston County,North Carolina,"230,856"
Gates County,North Carolina,"10,366"
Graham County,North Carolina,"8,043"
Granville County,North Carolina,"61,986"
Greene County,North Carolina,"20,417"
Guilford County,North Carolina,"542,410"
Halifax County,North Carolina,"48,272"
Harnett County,North Carolina,"135,966"
Haywood County,North Carolina,"62,476"
Henderson County,North Carolina,"116,829"
Hertford County,North Carolina,"21,278"
Hoke County,North Carolina,"53,114"
Hyde County,North Carolina,"4,508"
Iredell County,North Carolina,"191,968"
Jackson County,North Carolina,"43,410"
Johnston County,North Carolina,"226,504"
Jones County,North Carolina,"9,255"
Lee County,North Carolina,"64,138"
Lenoir County,North Carolina,"54,706"
Lincoln County,North Carolina,"89,670"
McDowell County,North Carolina,"44,717"
Macon County,North Carolina,"37,564"
Madison County,North Carolina,"21,502"
Martin County,North Carolina,"21,754"
Mecklenburg County,North Carolina,"1,122,276"
Mitchell County,North Carolina,"14,963"
Montgomery County,North Carolina,"25,798"
Moore County,North Carolina,"102,763"
Nash County,North Carolina,"95,176"
New Hanover County,North Carolina,"229,018"
Northampton County,North Carolina,"17,129"
Onslow County,North Carolina,"206,160"
Orange County,North Carolina,"148,884"
Pamlico County,North Carolina,"12,344"
Pasquotank County,North Carolina,"40,821"
Pender County,North Carolina,"62,815"
Perquimans County,North Carolina,"13,130"
Person County,North Carolina,"39,127"
Pitt County,North Carolina,"172,169"
Polk County,North Carolina,"19,656"
Randolph County,North Carolina,"145,172"
Richmond County,North Carolina,"42,724"
Robeson County,North Carolina,"116,328"
Rockingham County,North Carolina,"91,266"
Rowan County,North Carolina,"148,150"
Rutherford County,North Carolina,"64,586"
Sampson County,North Carolina,"58,990"
Scotland County,North Carolina,"34,227"
Stanly County,North Carolina,"63,425"
Stokes County,North Carolina,"44,553"
Surry County,North Carolina,"71,152"
Swain County,North Carolina,"14,136"
Transylvania County,North Carolina,"33,165"
Tyrrell County,North Carolina,"3,254"
Union County,North Carolina,"243,648"
Vance County,North Carolina,"42,185"
Wake County,North Carolina,"1,150,204"
Warren County,North Carolina,"18,762"
Washington County,North Carolina,"10,892"
Watauga County,North Carolina,"54,234"
Wayne County,North Carolina,"116,835"
Wilkes County,North Carolina,"65,806"
Wilson County,North Carolina,"78,369"
Yadkin County,North Carolina,"37,192"
Yancey County,North Carolina,"18,757"
Adams County,North Dakota,"2,167"
Barnes County,North Dakota,"10,806"
Benson County,North Dakota,"5,809"
Billings County,North Dakota,955
Bottineau County,North Dakota,"6,390"
Bowman County,North Dakota,"2,903"
Burke County,North Dakota,"2,158"
Burleigh County,North Dakota,"98,933"
Cass County,North Dakota,"186,562"
Cavalier County,North Dakota,"3,662"
Dickey County,North Dakota,"4,897"
Divide County,North Dakota,"2,188"
Dunn County,North Dakota,"4,035"
Eddy County,North Dakota,"2,337"
Emmons County,North Dakota,"3,271"
Foster County,North Dakota,"3,364"
Golden Valley County,North Dakota,"1,770"
Grand Forks County,North Dakota,"72,705"
Grant County,North Dakota,"2,323"
Griggs County,North Dakota,"2,281"
Hettinger County,North Dakota,"2,430"
Kidder County,North Dakota,"2,369"
LaMoure County,North Dakota,"4,066"
Logan County,North Dakota,"1,883"
McHenry County,North Dakota,"5,249"
McIntosh County,North Dakota,"2,513"
McKenzie County,North Dakota,"13,819"
McLean County,North Dakota,"9,796"
Mercer County,North Dakota,"8,323"
Morton County,North Dakota,"33,611"
Mountrail County,North Dakota,"9,576"
Nelson County,North Dakota,"3,054"
Oliver County,North Dakota,"1,873"
Pembina County,North Dakota,"6,767"
Pierce County,North Dakota,"3,953"
Ramsey County,North Dakota,"11,572"
Ransom County,North Dakota,"5,675"
Renville County,North Dakota,"2,266"
Richland County,North Dakota,"16,560"
Rolette County,North Dakota,"12,048"
Sargent County,North Dakota,"3,829"
Sheridan County,North Dakota,"1,268"
Sioux County,North Dakota,"3,738"
Slope County,North Dakota,690
Stark County,North Dakota,"33,046"
Steele County,North Dakota,"1,810"
Stutsman County,North Dakota,"21,576"
Towner County,North Dakota,"2,140"
Traill County,North Dakota,"8,003"
Walsh County,North Dakota,"10,469"
Ward County,North Dakota,"69,071"
Wells County,North Dakota,"3,905"
Williams County,North Dakota,"38,484"
Adams County,Ohio,"27,542"
Allen County,Ohio,"101,670"
Ashland County,Ohio,"52,316"
Ashtabula County,Ohio,"97,337"
Athens County,Ohio,"62,056"
Auglaize County,Ohio,"46,141"
Belmont County,Ohio,"65,849"
Brown County,Ohio,"43,662"
Butler County,Ohio,"390,234"
Carroll County,Ohio,"26,691"
Champaign County,Ohio,"38,699"
Clark County,Ohio,"135,633"
Clermont County,Ohio,"209,642"
Clinton County,Ohio,"42,004"
Columbiana County,Ohio,"101,310"
Coshocton County,Ohio,"36,618"
Crawford County,Ohio,"41,754"
Cuyahoga County,Ohio,"1,249,387"
Darke County,Ohio,"51,597"
Defiance County,Ohio,"38,144"
Delaware County,Ohio,"220,740"
Erie County,Ohio,"74,852"
Fairfield County,Ohio,"161,064"
Fayette County,Ohio,"28,906"
Franklin County,Ohio,"1,321,414"
Fulton County,Ohio,"42,450"
Gallia County,Ohio,"29,158"
Geauga County,Ohio,"95,565"
Greene County,Ohio,"168,412"
Guernsey County,Ohio,"38,287"
Hamilton County,Ohio,"826,139"
Hancock County,Ohio,"74,656"
Hardin County,Ohio,"30,621"
Harrison County,Ohio,"14,477"
Henry County,Ohio,"27,538"
Highland County,Ohio,"43,354"
Hocking County,Ohio,"28,097"
Holmes County,Ohio,"44,271"
Huron County,Ohio,"58,367"
Jackson County,Ohio,"32,511"
Jefferson County,Ohio,"64,789"
Knox County,Ohio,"62,897"
Lake County,Ohio,"232,023"
Lawrence County,Ohio,"57,445"
Licking County,Ohio,"180,401"
Logan County,Ohio,"46,035"
Lorain County,Ohio,"315,595"
Lucas County,Ohio,"429,191"
Madison County,Ohio,"44,386"
Mahoning County,Ohio,"226,762"
Marion County,Ohio,"65,291"
Medina County,Ohio,"183,092"
Meigs County,Ohio,"22,049"
Mercer County,Ohio,"42,309"
Miami County,Ohio,"109,264"
Monroe County,Ohio,"13,329"
Montgomery County,Ohio,"535,840"
Morgan County,Ohio,"13,682"
Morrow County,Ohio,"35,151"
Muskingum County,Ohio,"86,408"
Noble County,Ohio,"14,176"
Ottawa County,Ohio,"40,104"
Paulding County,Ohio,"18,871"
Perry County,Ohio,"35,460"
Pickaway County,Ohio,"59,333"
Pike County,Ohio,"27,089"
Portage County,Ohio,"162,382"
Preble County,Ohio,"40,867"
Putnam County,Ohio,"34,318"
Richland County,Ohio,"125,195"
Ross County,Ohio,"76,891"
Sandusky County,Ohio,"58,715"
Scioto County,Ohio,"73,346"
Seneca County,Ohio,"54,906"
Shelby County,Ohio,"47,977"
Stark County,Ohio,"373,834"
Summit County,Ohio,"537,633"
Trumbull County,Ohio,"201,335"
Tuscarawas County,Ohio,"92,500"
Union County,Ohio,"64,971"
Van Wert County,Ohio,"28,732"
Vinton County,Ohio,"12,696"
Warren County,Ohio,"246,553"
Washington County,Ohio,"59,423"
Wayne County,Ohio,"116,710"
Williams County,Ohio,"36,716"
Wood County,Ohio,"132,472"
Wyandot County,Ohio,"21,708"
Adair County,Oklahoma,"19,414"
Alfalfa County,Oklahoma,"5,710"
Atoka County,Oklahoma,"14,324"
Beaver County,Oklahoma,"4,980"
Beckham County,Oklahoma,"22,046"
Blaine County,Oklahoma,"8,562"
Bryan County,Oklahoma,"47,105"
Caddo County,Oklahoma,"26,368"
Canadian County,Oklahoma,"161,737"
Carter County,Oklahoma,"48,291"
Cherokee County,Oklahoma,"47,627"
Choctaw County,Oklahoma,"14,307"
Cimarron County,Oklahoma,"2,248"
Cleveland County,Oklahoma,"297,597"
Coal County,Oklahoma,"5,276"
Comanche County,Oklahoma,"122,063"
Cotton County,Oklahoma,"5,480"
Craig County,Oklahoma,"14,115"
Creek County,Oklahoma,"72,029"
Custer County,Oklahoma,"28,163"
Delaware County,Oklahoma,"41,000"
Dewey County,Oklahoma,"4,417"
Ellis County,Oklahoma,"3,762"
Garfield County,Oklahoma,"61,926"
Garvin County,Oklahoma,"25,804"
Grady County,Oklahoma,"55,508"
Grant County,Oklahoma,"4,131"
Greer County,Oklahoma,"5,487"
Harmon County,Oklahoma,"2,418"
Harper County,Oklahoma,"3,180"
Haskell County,Oklahoma,"11,602"
Hughes County,Oklahoma,"13,405"
Jackson County,Oklahoma,"24,777"
Jefferson County,Oklahoma,"5,438"
Johnston County,Oklahoma,"10,301"
Kay County,Oklahoma,"43,732"
Kingfisher County,Oklahoma,"15,204"
Kiowa County,Oklahoma,"8,410"
Latimer County,Oklahoma,"9,427"
Le Flore County,Oklahoma,"48,476"
Lincoln County,Oklahoma,"33,829"
Logan County,Oklahoma,"50,885"
Love County,Oklahoma,"10,216"
McClain County,Oklahoma,"43,516"
McCurtain County,Oklahoma,"30,884"
McIntosh County,Oklahoma,"19,245"
Major County,Oklahoma,"7,668"
Marshall County,Oklahoma,"15,594"
Mayes County,Oklahoma,"39,159"
Murray County,Oklahoma,"13,718"
Muskogee County,Oklahoma,"66,146"
Noble County,Oklahoma,"10,933"
Nowata County,Oklahoma,"9,303"
Okfuskee County,Oklahoma,"11,197"
Oklahoma County,Oklahoma,"798,575"
Okmulgee County,Oklahoma,"36,843"
Osage County,Oklahoma,"45,772"
Ottawa County,Oklahoma,"30,340"
Pawnee County,Oklahoma,"15,741"
Payne County,Oklahoma,"81,989"
Pittsburg County,Oklahoma,"43,633"
Pontotoc County,Oklahoma,"38,163"
Pottawatomie County,Oklahoma,"73,019"
Pushmataha County,Oklahoma,"10,815"
Roger Mills County,Oklahoma,"3,386"
Rogers County,Oklahoma,"96,695"
Seminole County,Oklahoma,"23,567"
Sequoyah County,Oklahoma,"39,508"
Stephens County,Oklahoma,"43,129"
Texas County,Oklahoma,"20,865"
Tillman County,Oklahoma,"7,076"
Tulsa County,Oklahoma,"672,858"
Wagoner County,Oklahoma,"84,050"
Washington County,Oklahoma,"52,772"
Washita County,Oklahoma,"10,915"
Woods County,Oklahoma,"8,583"
Woodward County,Oklahoma,"20,205"
Baker County,Oregon,"16,847"
Benton County,Oregon,"96,017"
Clackamas County,Oregon,"422,537"
Clatsop County,Oregon,"41,810"
Columbia County,Oregon,"53,074"
Coos County,Oregon,"64,999"
Crook County,Oregon,"25,739"
Curry County,Oregon,"23,683"
Deschutes County,Oregon,"204,801"
Douglas County,Oregon,"111,978"
Gilliam County,Oregon,"2,005"
Grant County,Oregon,"7,272"
Harney County,Oregon,"7,575"
Hood River County,Oregon,"24,057"
Jackson County,Oregon,"223,734"
Jefferson County,Oregon,"25,068"
Josephine County,Oregon,"88,346"
Klamath County,Oregon,"70,164"
Lake County,Oregon,"8,276"
Lane County,Oregon,"383,189"
Lincoln County,Oregon,"50,862"
Linn County,Oregon,"129,839"
Malheur County,Oregon,"31,693"
Marion County,Oregon,"347,119"
Morrow County,Oregon,"12,303"
Multnomah County,Oregon,"803,377"
Polk County,Oregon,"89,164"
Sherman County,Oregon,"1,907"
Tillamook County,Oregon,"27,748"
Umatilla County,Oregon,"79,988"
Union County,Oregon,"26,212"
Wallowa County,Oregon,"7,545"
Wasco County,Oregon,"26,726"
Washington County,Oregon,"600,811"
Wheeler County,Oregon,"1,451"
Yamhill County,Oregon,"108,239"
Adams County,Pennsylvania,"104,127"
Allegheny County,Pennsylvania,"1,238,090"
Armstrong County,Pennsylvania,"65,093"
Beaver County,Pennsylvania,"166,624"
Bedford County,Pennsylvania,"47,461"
Berks County,Pennsylvania,"429,342"
Blair County,Pennsylvania,"121,767"
Bradford County,Pennsylvania,"59,892"
Bucks County,Pennsylvania,"646,098"
Butler County,Pennsylvania,"194,273"
Cambria County,Pennsylvania,"132,167"
Cameron County,Pennsylvania,"4,459"
Carbon County,Pennsylvania,"65,412"
Centre County,Pennsylvania,"157,527"
Chester County,Pennsylvania,"538,649"
Clarion County,Pennsylvania,"37,156"
Clearfield County,Pennsylvania,"80,082"
Clinton County,Pennsylvania,"37,465"
Columbia County,Pennsylvania,"64,872"
Crawford County,Pennsylvania,"83,351"
Cumberland County,Pennsylvania,"262,919"
Dauphin County,Pennsylvania,"287,400"
Delaware County,Pennsylvania,"573,849"
Elk County,Pennsylvania,"30,783"
Erie County,Pennsylvania,"269,011"
Fayette County,Pennsylvania,"126,931"
Forest County,Pennsylvania,"7,032"
Franklin County,Pennsylvania,"156,289"
Fulton County,Pennsylvania,"14,523"
Greene County,Pennsylvania,"35,369"
Huntingdon County,Pennsylvania,"43,889"
Indiana County,Pennsylvania,"82,886"
Jefferson County,Pennsylvania,"44,114"
Juniata County,Pennsylvania,"23,297"
Lackawanna County,Pennsylvania,"215,663"
Lancaster County,Pennsylvania,"553,652"
Lawrence County,Pennsylvania,"85,497"
Lebanon County,Pennsylvania,"143,493"
Lehigh County,Pennsylvania,"375,539"
Luzerne County,Pennsylvania,"326,053"
Lycoming County,Pennsylvania,"113,605"
McKean County,Pennsylvania,"39,941"
Mercer County,Pennsylvania,"109,972"
Mifflin County,Pennsylvania,"46,136"
Monroe County,Pennsylvania,"169,273"
Montgomery County,Pennsylvania,"860,578"
Montour County,Pennsylvania,"18,087"
Northampton County,Pennsylvania,"313,628"
Northumberland County,Pennsylvania,"91,266"
Perry County,Pennsylvania,"45,986"
Philadelphia County,Pennsylvania,"1,576,251"
Pike County,Pennsylvania,"59,952"
Potter County,Pennsylvania,"16,259"
Schuylkill County,Pennsylvania,"143,264"
Snyder County,Pennsylvania,"39,621"
Somerset County,Pennsylvania,"73,627"
Sullivan County,Pennsylvania,"5,868"
Susquehanna County,Pennsylvania,"38,389"
Tioga County,Pennsylvania,"40,929"
Union County,Pennsylvania,"42,568"
Venango County,Pennsylvania,"49,938"
Warren County,Pennsylvania,"38,134"
Washington County,Pennsylvania,"209,470"
Wayne County,Pennsylvania,"51,431"
Westmoreland County,Pennsylvania,"353,057"
Wyoming County,Pennsylvania,"26,034"
York County,Pennsylvania,"458,696"
Bristol County,Rhode Island,"50,818"
Kent County,Rhode Island,"170,715"
Newport County,Rhode Island,"85,264"
Providence County,Rhode Island,"658,221"
Washington County,Rhode Island,"130,592"
Abbeville County,South Carolina,"24,299"
Aiken County,South Carolina,"170,776"
Allendale County,South Carolina,"7,858"
Anderson County,South Carolina,"206,908"
Bamberg County,South Carolina,"13,189"
Barnwell County,South Carolina,"20,580"
Beaufort County,South Carolina,"191,748"
Berkeley County,South Carolina,"236,701"
Calhoun County,South Carolina,"14,165"
Charleston County,South Carolina,"413,024"
Cherokee County,South Carolina,"56,052"
Chester County,South Carolina,"32,209"
Chesterfield County,South Carolina,"43,268"
Clarendon County,South Carolina,"31,024"
Colleton County,South Carolina,"38,462"
Darlington County,South Carolina,"62,755"
Dillon County,South Carolina,"28,087"
Dorchester County,South Carolina,"163,327"
Edgefield County,South Carolina,"26,153"
Fairfield County,South Carolina,"20,690"
Florence County,South Carolina,"136,504"
Georgetown County,South Carolina,"63,921"
Greenville County,South Carolina,"533,834"
Greenwood County,South Carolina,"69,241"
Hampton County,South Carolina,"18,180"
Horry County,South Carolina,"365,579"
Jasper County,South Carolina,"30,324"
Kershaw County,South Carolina,"66,130"
Lancaster County,South Carolina,"100,336"
Laurens County,South Carolina,"67,803"
Lee County,South Carolina,"16,280"
Lexington County,South Carolina,"300,137"
McCormick County,South Carolina,"9,760"
Marion County,South Carolina,"28,784"
Marlboro County,South Carolina,"26,382"
Newberry County,South Carolina,"37,996"
Oconee County,South Carolina,"79,203"
Orangeburg County,South Carolina,"82,962"
Pickens County,South Carolina,"132,229"
Richland County,South Carolina,"418,307"
Saluda County,South Carolina,"18,821"
Spartanburg County,South Carolina,"335,864"
Sumter County,South Carolina,"104,758"
Union County,South Carolina,"27,016"
Williamsburg County,South Carolina,"30,484"
York County,South Carolina,"288,595"
Aurora County,South Dakota,"2,748"
Beadle County,South Dakota,"19,121"
Bennett County,South Dakota,"3,406"
Bon Homme County,South Dakota,"7,014"
Brookings County,South Dakota,"34,639"
Brown County,South Dakota,"38,101"
Brule County,South Dakota,"5,242"
Buffalo County,South Dakota,"1,923"
Butte County,South Dakota,"10,456"
Campbell County,South Dakota,"1,380"
Charles Mix County,South Dakota,"9,163"
Clark County,South Dakota,"3,855"
Clay County,South Dakota,"15,150"
Codington County,South Dakota,"28,427"
Corson County,South Dakota,"3,872"
Custer County,South Dakota,"8,609"
Davison County,South Dakota,"19,878"
Day County,South Dakota,"5,414"
Deuel County,South Dakota,"4,272"
Dewey County,South Dakota,"5,246"
Douglas County,South Dakota,"2,821"
Edmunds County,South Dakota,"4,033"
Fall River County,South Dakota,"7,202"
Faulk County,South Dakota,"2,137"
Grant County,South Dakota,"7,519"
Gregory County,South Dakota,"3,977"
Haakon County,South Dakota,"1,835"
Hamlin County,South Dakota,"6,255"
Hand County,South Dakota,"3,095"
Hanson County,South Dakota,"3,505"
Harding County,South Dakota,"1,327"
Hughes County,South Dakota,"17,694"
Hutchinson County,South Dakota,"7,411"
Hyde County,South Dakota,"1,236"
Jackson County,South Dakota,"2,878"
Jerauld County,South Dakota,"1,636"
Jones County,South Dakota,879
Kingsbury County,South Dakota,"5,192"
Lake County,South Dakota,"10,851"
Lawrence County,South Dakota,"26,165"
Lincoln County,South Dakota,"67,870"
Lyman County,South Dakota,"3,764"
McCook County,South Dakota,"5,695"
McPherson County,South Dakota,"2,420"
Marshall County,South Dakota,"4,304"
Meade County,South Dakota,"30,173"
Mellette County,South Dakota,"1,908"
Miner County,South Dakota,"2,314"
Minnehaha County,South Dakota,"199,685"
Moody County,South Dakota,"6,315"
Oglala Lakota County,South Dakota,"13,586"
Pennington County,South Dakota,"111,806"
Perkins County,South Dakota,"2,819"
Potter County,South Dakota,"2,475"
Roberts County,South Dakota,"10,163"
Sanborn County,South Dakota,"2,378"
Spink County,South Dakota,"6,269"
Stanley County,South Dakota,"3,032"
Sully County,South Dakota,"1,476"
Todd County,South Dakota,"9,286"
Tripp County,South Dakota,"5,569"
Turner County,South Dakota,"8,708"
Union County,South Dakota,"16,872"
Walworth County,South Dakota,"5,248"
Yankton County,South Dakota,"23,297"
Ziebach County,South Dakota,"2,380"
Anderson County,Tennessee,"77,576"
Bedford County,Tennessee,"51,119"
Benton County,Tennessee,"15,872"
Bledsoe County,Tennessee,"15,234"
Blount County,Tennessee,"137,605"
Bradley County,Tennessee,"110,162"
Campbell County,Tennessee,"39,578"
Cannon County,Tennessee,"14,553"
Carroll County,Tennessee,"28,432"
Carter County,Tennessee,"56,134"
Cheatham County,Tennessee,"41,523"
Chester County,Tennessee,"17,504"
Claiborne County,Tennessee,"32,267"
Clay County,Tennessee,"7,555"
Cocke County,Tennessee,"36,418"
Coffee County,Tennessee,"59,032"
Crockett County,Tennessee,"13,979"
Cumberland County,Tennessee,"62,451"
Davidson County,Tennessee,"703,953"
Decatur County,Tennessee,"11,391"
DeKalb County,Tennessee,"20,478"
Dickson County,Tennessee,"55,292"
Dyer County,Tennessee,"36,615"
Fayette County,Tennessee,"42,832"
Fentress County,Tennessee,"18,850"
Franklin County,Tennessee,"43,215"
Gibson County,Tennessee,"50,541"
Giles County,Tennessee,"30,542"
Grainger County,Tennessee,"23,763"
Greene County,Tennessee,"70,621"
Grundy County,Tennessee,"13,622"
Hamblen County,Tennessee,"64,468"
Hamilton County,Tennessee,"369,135"
Hancock County,Tennessee,"6,787"
Hardeman County,Tennessee,"25,426"
Hardin County,Tennessee,"26,892"
Hawkins County,Tennessee,"57,288"
Haywood County,Tennessee,"17,694"
Henderson County,Tennessee,"27,953"
Henry County,Tennessee,"32,239"
Hickman County,Tennessee,"25,307"
Houston County,Tennessee,"8,317"
Humphreys County,Tennessee,"19,211"
Jackson County,Tennessee,"11,750"
Jefferson County,Tennessee,"55,624"
Johnson County,Tennessee,"18,170"
Knox County,Tennessee,"486,677"
Lake County,Tennessee,"7,128"
Lauderdale County,Tennessee,"25,108"
Lawrence County,Tennessee,"44,828"
Lewis County,Tennessee,"12,857"
Lincoln County,Tennessee,"35,433"
Loudon County,Tennessee,"56,690"
McMinn County,Tennessee,"54,059"
McNairy County,Tennessee,"25,860"
Macon County,Tennessee,"25,699"
Madison County,Tennessee,"98,775"
Marion County,Tennessee,"28,877"
Marshall County,Tennessee,"34,984"
Maury County,Tennessee,"104,760"
Meigs County,Tennessee,"13,049"
Monroe County,Tennessee,"46,698"
Montgomery County,Tennessee,"227,900"
Moore County,Tennessee,"6,644"
Morgan County,Tennessee,"21,254"
Obion County,Tennessee,"30,466"
Overton County,Tennessee,"22,839"
Perry County,Tennessee,"8,472"
Pickett County,Tennessee,"5,079"
Polk County,Tennessee,"17,776"
Putnam County,Tennessee,"81,188"
Rhea County,Tennessee,"33,136"
Roane County,Tennessee,"53,992"
Robertson County,Tennessee,"74,098"
