rank,year_ranked,material_type,coaster_name,park_name,supplier,year_built,status,speed,height,length,num_inversions,manufacturer,seating_type,city,state,country,zip_code
38,2022,Wooden,Screamin' Eagle,Six Flags St. Louis,PTC/Allen,1976,status.operating,100.0,34.0,1180.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Eureka,Missouri,United States,63025
39,2022,Wooden,T Express,Everland,Intamin,2008,status.operating,104.0,56.0,1641.0,0.0,Intamin,Sit Down,Seoul,Seoul,South Korea,17023
40,2022,Wooden,Rutschebanan,Tivoli Gardens,L.A. Thompson,1914,status.operating,50.0,13.0,720.0,0.0,L.A. Thompson Scenic Railway,Sit Down,Copenhagen,Region Hovedstaden,Denmark,1630
41,2022,Wooden,Blue Streak,Cedar Point,Hoover,1964,status.operating,64.0,24.0,780.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Sandusky,Ohio,United States,44870
41,2022,Wooden,Zippin Pippin,Bay Beach Amusement Park,M&V,2011,status.operating,68.0,21.0,715.0,,Gravity Group,Sit Down,Green Bay,Wisconsin,United States,54302
43,2022,Wooden,Boss,Six Flags St. Louis,Custom Coasters Int.,2000,status.operating,106.0,46.0,1540.0,0.0,CCI,Sit Down,Eureka,Missouri,United States,63025
44,2022,Wooden,Cornball Express,Indiana Beach,Custom Coasters Int.,1999,status.operating,72.0,17.0,640.0,0.0,CCI,Sit Down,Monticello,Indiana,United States,47960
45,2022,Wooden,InvadR,Busch Gardens Williamsburg,Great Coasters Int.,2017,,,,,,,,,,,
46,2022,Wooden,Switchback,ZDT's,The Gravity Group,2015,status.operating,66.0,20.0,365.0,,Gravity Group,Sit Down,Seguin,Texas,United States,78155
47,2022,Wooden,Hades 360,Mt. Olympus Theme Park,The Gravity Group,2005,,,,,,,,,,,
48,2022,Wooden,Tremors,Silverwood,Custom Coasters Int.,1999,status.operating,96.0,31.0,915.0,0.0,CCI,Sit Down,Athol,Idaho,United States,83801
49,2022,Wooden,American Thunder,Six Flags St. Louis,Great Coasters Int.,2008,status.operating,77.0,25.0,827.0,0.0,GCI,Sit Down,Eureka,Missouri,United States,63025
50,2022,Wooden,Joris en de Draak,Efteling,Great Coasters Int.,2010,status.operating,75.0,22.0,788.0,0.0,GCI,Sit Down,Kaatsheuvel,North Brabant,Netherlands,5171
