coaster_name,status,speed,height,length,num_inversions,material_type,manufacturer,seating_type,park_name,city,state,country,zip_code
Cyclone,status.closed.definitely,,,,0.0,Steel,Pinfari,Sit Down,Blackpool Pleasure Beach,Blackpool,England,United Kingdom,FY4 1EZ
Cú Chulainn,status.operating,90.0,32.0,1094.0,0.0,Wooden,Gravity Group,Sit Down,Tayto Park,Ashbourne,Meath,Ireland,A84 EA02
Dania Beach Hurricane,status.operating,81.0,31.0,975.0,0.0,Steel,Coaster Works,Sit Down,Boomers!,Boca Raton,Florida,United States,33431
Diamondback,status.operating,129.0,70.0,1610.0,0.0,Steel,B&M,Sit Down,Kings Island,Mason,Ohio,United States,45040
Dominator,status.operating,105.0,48.0,1283.0,5.0,Steel,B&M,Floorless,Kings Dominion,Doswell,Virginia,United States,23047
Dominator,status.closed.definitely,105.0,48.0,1283.0,5.0,Steel,B&M,Floorless,Geauga Lake,,,,
Dragon Challenge,status.closed.definitely,97.0,38.0,975.0,5.0,Steel,B&M,Inverted,Universal's Islands of Adventure,Orlando,Florida,United States,32819
Dragon Challenge,status.operating,,,,0.0,Steel,Pinfari,Sit Down,Barry Island Pleasure Park,,,,
El Toro,status.operating,113.0,55.0,1341.0,0.0,Wooden,Intamin,Sit Down,Six Flags Great Adventure,Jackson,New Jersey,United States,08527
El Toro,status.operating,75.0,28.0,750.0,0.0,Wooden,GCI,Sit Down,Freizeitpark Plohn,Reichenbach/Vogtland,Saxony,Germany,08485
Euro-Mir,status.operating,80.0,28.0,980.0,0.0,Steel,Mack,Spinning,Europa-Park,Rust,Baden-Württemberg,Germany,77977
Expedition Everest,status.operating,80.0,34.0,1341.0,0.0,Steel,Vekoma,Sit Down,Disney's Animal Kingdom,Lake Buena Vista,Florida,United States,32830
Expedition GeForce,status.operating,120.0,53.0,1220.0,0.0,Steel,Intamin,Sit Down,Holiday Park,Hassloch,Rhineland-Palatinate,Germany,67454
Flying Turns,status.operating,39.0,15.0,396.0,0.0,Wooden,Knoebels,Bobsleigh,Knoebels Amusement Resort,Elysburg,Pennsylvania,United States,17824
Full Throttle,status.operating,112.0,48.0,670.0,2.0,Steel,Premier Rides,Sit Down,Six Flags Magic Mountain,Valencia,California,United States,91355
Fury 325,status.operating,153.0,99.0,2012.0,0.0,Steel,B&M,Sit Down,Carowinds,Charlotte,North Carolina,United States,28273
Galactica,status.operating,75.0,20.0,840.0,3.0,Steel,B&M,Flying,Alton Towers,Stoke-on-Trent,England,United Kingdom,ST10 4DB
GateKeeper,status.operating,108.0,52.0,1269.0,6.0,Steel,B&M,Wing,Cedar Point,Sandusky,Ohio,United States,44870
Georgia Cyclone,status.retracked,81.0,29.0,905.0,0.0,Wooden,Dinn Corp.,Sit Down,Six Flags Over Georgia,Austell,Georgia,United States,30168
GhostRider,status.operating,90.0,36.0,1382.0,0.0,Wooden,GCI,Sit Down,Knott's Berry Farm,Buena Park,California,United States,90620
Giant Dipper,status.operating,89.0,22.0,793.0,0.0,Wooden,na,Sit Down,Belmont Park,San Diego,California,United States,92109
Giant Dipper,status.operating,89.0,21.0,805.0,0.0,Steel,na,Sit Down,Santa Cruz Beach Boardwalk,Santa Cruz,California,United States,95060
Gold Striker,status.operating,87.0,33.0,975.0,0.0,Wooden,GCI,Sit Down,California's Great America,Santa Clara,California,United States,95054
Goliath,status.operating,115.0,55.0,950.0,2.0,Wooden,RMC,Sit Down,Six Flags Great America,Gurnee,Illinois,United States,60031
Goliath,status.operating,137.0,71.0,1370.0,0.0,Steel,Giovanola,Sit Down,Six Flags Magic Mountain,Valencia,California,United States,91355
Goliath,status.operating,106.0,58.0,367.0,3.0,Steel,Vekoma,Sit Down,Six Flags New England,Agawam,Massachusetts,United States,01001
Goliath,status.operating,106.0,47.0,1214.0,0.0,Steel,Intamin,Sit Down,Walabi Holland,Biddinghuizen,Flevoland,Netherlands,8256
Goliath,status.operating,112.0,61.0,1365.0,0.0,Steel,B&M,Sit Down,Six Flags Over Georgia,Austell,Georgia,United States,30168
Goliath,status.operating,110.0,53.0,1231.0,0.0,Steel,B&M,Sit Down,La Ronde,Montreal,Quebec,Canada,H3C6A3
Goliath,status.operating,80.0,32.0,823.0,5.0,Steel,B&M,Inverted,Six Flags Fiesta Texas,San Antonio,Texas,United States,78257
Grand National,status.operating,64.0,19.0,1006.0,0.0,Steel,Charles Paige,Sit Down,Blackpool Pleasure Beach,Blackpool,England,United Kingdom,FY4 1EZ
Great American Scream Machine,status.closed.definitely,109.0,53.0,1158.0,7.0,Steel,Arrow,Sit Down,Six Flags Great Adventure,Jackson,New Jersey,United States,08527
