coaster_name,status,speed,height,length,num_inversions,material_type,manufacturer,seating_type,park_name,city,state,country,zip_code
Thunderbird,status.operating,100.0,43.0,925.0,4.0,Steel,B&M,Wing,Holiday World,Santa Claus,Indiana,United States,47579
Thunderbird,status.operating,75.0,27.0,850.0,0.0,Wooden,GCI,Sit Down,PowerPark,Härmä,Western Finland,Finland,62300
Thunderbolt,status.operating,,35.0,680.0,4.0,na,Zamperla,Sit Down,Luna Park,,,,
Thunderbolt,status.closed.definitely,,,,,Wooden,John Miller,Sit Down,Luna Park,,,,
Thunderbolt,status.operating,89.0,29.0,880.0,0.0,Steel,ACE Coaster Classic,Sit Down,Kennywood,West Mifflin,Pennsylvania,United States,15122
Thunderbolt,status.operating,,21.0,873.0,0.0,Wooden,"Drambour, Joseph",Sit Down,Six Flags New England,Agawam,Massachusetts,United States,01001
Thunderbolt,status.closed.definitely,,,,0.0,Steel,na,Sit Down,Celebration City,,,,
Thunderbolt,status.closed.definitely,87.0,31.0,1207.0,2.0,Steel,Meisho Amusement Machines,Sit Down,Dreamworld,,,,
Thunderbolt,status.closed.definitely,,7.0,,0.0,Steel,Zierer,Sit Down,Grove Land,,,,
Thunderhead,status.operating,89.0,31.0,985.0,0.0,Wooden,GCI,Sit Down,Dollywood,Pigeon Forge,Tennessee,United States,37863
Timber Terror,status.operating,89.0,26.0,823.0,0.0,Wooden,CCI,Sit Down,Silverwood,Athol,Idaho,United States,83801
Time Traveler,status.operating,80.0,30.0,920.0,3.0,Steel,Mack,Spinning,Silver Dollar City,Branson,Missouri,United States,65616
Titan,status.operating,137.0,75.0,1619.0,0.0,Steel,Giovanola,Sit Down,Six Flags Over Texas,Arlington,Texas,United States,76011
Titan MAX,status.closed.definitely,115.0,54.0,1530.0,0.0,Steel,Arrow,Sit Down,Space World,,,,
Tonnerre de Zeus,status.operating,84.0,30.0,1233.0,0.0,Wooden,CCI,Sit Down,Parc Asterix,Plailly,Oise,France,60128
Top Thrill Dragster,status.operating,192.0,128.0,853.0,0.0,Steel,Intamin,Sit Down,Cedar Point,Sandusky,Ohio,United States,44870
Tremors,status.operating,96.0,31.0,915.0,0.0,Wooden,CCI,Sit Down,Silverwood,Athol,Idaho,United States,83801
TRON Lightcycle Power Run,status.operating,95.0,24.0,970.0,0.0,Steel,Vekoma,Motorbike,Shanghai Disneyland,Pudong,Shanghai,China,201205
Troy,status.operating,87.0,32.0,1077.0,0.0,Wooden,GCI,Sit Down,Toverland,Sevenum,Limburg,Netherlands,5975
Twisted Colossus,status.operating,92.0,37.0,1520.0,2.0,Hybrid,RMC,Sit Down,Six Flags Magic Mountain,Valencia,California,United States,91355
Twisted Timbers,status.operating,87.0,34.0,1024.0,3.0,Hybrid,RMC,Sit Down,Kings Dominion,Doswell,Virginia,United States,23047
Twister,status.operating,,,465.0,0.0,Steel,Maurer,Spinning,Habtoorland,,,,
Twister,status.operating,47.0,13.0,420.0,0.0,Steel,Reverchon,Sit Down,Lightwater Valley,,,,
Twister,status.operating,75.0,32.0,788.0,4.0,na,Beijing Jiuhua,Inverted,Quancheng Euro Park,,,,
Twister,status.operating,61.0,15.0,480.0,0.0,Wooden,Gravity Group,Sit Down,Gröna Lund,Stockholm,Stockholms,Sweden,115 21
Twister,status.operating,83.0,31.0,1189.0,0.0,Wooden,Philadelphia Toboggan Coaster,Sit Down,Knoebels Amusement Resort,Elysburg,Pennsylvania,United States,17824
Twister,status.operating,,,,,Steel,SBF,Spinning,Crealy Adventure Park,,,,
Verbolten,status.operating,85.0,,864.0,0.0,Steel,Zierer,Sit Down,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,23185
Viper,status.operating,81.0,31.0,1054.0,0.0,Wooden,Philadelphia Toboggan Coaster,Sit Down,Six Flags Great America,Gurnee,Illinois,United States,60031
Volcano Coaster,status.operating,,,,,na,na,Sit Down,Jawa Timur Park 1,,,,
Volcano,status.closed.definitely,112.0,47.0,840.0,4.0,Steel,Intamin,Inverted,Kings Dominion,Doswell,Virginia,United States,23047
Volcano: The Blast Coaster,status.closed.definitely,112.0,47.0,840.0,4.0,Steel,Intamin,Inverted,Kings Dominion,Doswell,Virginia,United States,23047
Voyage,status.operating,108.0,49.0,1963.0,0.0,Wooden,Gravity Group,Sit Down,Holiday World,Santa Claus,Indiana,United States,47579
White Lightning,status.operating,75.0,23.0,600.0,0.0,Wooden,GCI,Sit Down,Fun Spot America,Orlando,Florida,United States,32819
Whizzer,status.operating,68.0,21.0,945.0,0.0,Steel,Schwarzkopf,Sit Down,Six Flags Great America,Gurnee,Illinois,United States,60031
Wicked Cyclone,status.operating,89.0,33.0,1012.0,3.0,Hybrid,RMC,Sit Down,Six Flags New England,Agawam,Massachusetts,United States,01001
Wild Eagle,status.operating,98.0,64.0,953.0,4.0,Steel,B&M,Wing,Dollywood,Pigeon Forge,Tennessee,United States,37863
Wild Mouse,status.closed.definitely,45.0,15.0,370.0,0.0,Steel,Maurer,Sit Down,Flamingo Land Theme Park and Zoo,,,,
Wild Mouse,status.operating,,,,,na,Maurer,Sit Down,Funtown Splashtown USA,,,,
Wild Mouse,status.closed.definitely,,,,0.0,Steel,Senyo Kogyo,Sit Down,Kariya-shi Kotsu Jido Yuen,,,,
Wild Mouse,status.closed.definitely,,12.0,487.0,0.0,Wooden,Hopkins,Sit Down,Aussie World,,,,
Wild Mouse,status.construction,,,,0.0,na,na,na,Arnolds Park,,,,
Wild Mouse,status.closed.definitely,,,390.0,0.0,Wooden,na,Sit Down,Blackpool Pleasure Beach,Blackpool,England,United Kingdom,FY4 1EZ
Wild Mouse,status.operating,,14.0,370.0,0.0,Steel,Mack,Sit Down,Nagashima Spa Land,Kuwana,Mie,Japan,511-1135
Wild Mouse,status.operating,,12.0,400.0,0.0,Wooden,Hopkins,Sit Down,Luna Park Sydney,,,,
Wild Mouse,status.closed.definitely,,,,0.0,Steel,na,Sit Down,Santa Cruz Beach Boardwalk,Santa Cruz,California,United States,95060
Wild Mouse,status.closed.definitely,,,,0.0,Steel,Schiff,Sit Down,Fun Junction,,,,
Wild Mouse,status.closed.definitely,,,,0.0,Steel,na,Sit Down,Funland Amusement Park,,,,
Wild Mouse,status.closed.definitely,,,,0.0,Steel,na,Sit Down,Crystal Beach,,,,
Wild Mouse,status.closed.definitely,,,,0.0,Steel,E&F Miler Industries,Sit Down,Casino Pier,,,,
Wild Mouse,status.operating,47.0,13.0,420.0,,na,Zamperla,Sit Down,Fantasilandia,,,,
Wild Mouse,status.operating,,,,0.0,Steel,Reverchon,Spinning,Barry Island Pleasure Park,,,,
Wild Mouse,status.operating,45.0,15.0,370.0,0.0,Steel,Maurer,Sit Down,Lagoon,Farmington,Utah,United States,84025
Wild Mouse,status.operating,45.0,14.0,370.0,0.0,Steel,Mack,Sit Down,Hersheypark,Hershey,Pennsylvania,United States,17033
Wild Mouse,status.closed.definitely,47.0,13.0,420.0,0.0,Steel,Reverchon,Spinning,Plopsa Coo,,,,
Wild Mouse,status.closed.definitely,45.0,14.0,370.0,0.0,Steel,Mack,Sit Down,Expoland,,,,
Wild Mouse,status.operating,45.0,15.0,370.0,0.0,Steel,Maurer,Sit Down,Dorney Park,Allentown,Pennsylvania,United States,18104
Wild Mouse,status.operating,47.0,13.0,420.0,0.0,Steel,Zamperla,Sit Down,Beech Bend,Bowling Green,Kentucky,United States,42101
Wild One,status.operating,85.0,30.0,1219.0,0.0,Steel,John Miller,Sit Down,Six Flags Great America,Gurnee,Illinois,United States,60031
Wildfire,status.operating,106.0,37.0,937.0,5.0,Steel,B&M,Sit Down,Silver Dollar City,Branson,Missouri,United States,65616
Wildfire,status.operating,113.0,57.0,1300.0,3.0,Wooden,RMC,Sit Down,Kolmården,Kolmården,Östergötlands,Sweden,618 92
Wodan,status.operating,100.0,35.0,1050.0,0.0,Wooden,GCI,Sit Down,Europa-Park,Rust,Baden-Württemberg,Germany,77977
Wodan Timbur Coaster,status.operating,100.0,35.0,1050.0,0.0,Wooden,GCI,Sit Down,Europa-Park,Rust,Baden-Württemberg,Germany,77977
Wood Coaster,status.operating,99.0,45.0,1468.0,0.0,Wooden,GCI,Sit Down,Knight Valley,Shenzhen,Guangdong,China,518085
Wooden Warrior,status.operating,56.0,11.0,378.0,0.0,Wooden,Gravity Group,Sit Down,Quassy Amusement Park,Middlebury,Connecticut,United States,06762
X2,status.operating,122.0,53.0,1100.0,6.0,Steel,Arrow,4th Dimension,Six Flags Magic Mountain,Valencia,California,United States,91355
X-Flight,status.closed.definitely,81.0,35.0,1018.0,0.0,Steel,Vekoma,Flying,Geauga Lake,,,,
X-Flight,status.operating,90.0,37.0,915.0,5.0,Steel,B&M,Wing,Six Flags Great America,Gurnee,Illinois,United States,60031
Yankee Cannonball,status.operating,56.0,20.0,610.0,0.0,Wooden,Philadelphia Toboggan Coaster,Sit Down,Canobie Lake Park,,,,
Yukon Striker,status.operating,130.0,75.0,1105.0,4.0,Steel,B&M,Sit Down,Canada's Wonderland,Vaughan,Ontario,Canada,L6A 1S6
Zadra,status.construction,115.0,63.0,1300.0,3.0,Hybrid,RMC,Sit Down,Energylandia,Zator,Lesser Poland,Poland,32-640
Zippin Pippin,status.operating,68.0,21.0,715.0,,Wooden,Gravity Group,Sit Down,Bay Beach Amusement Park,Green Bay,Wisconsin,United States,54302
